num_rects,mabo_edge,mabo_ss_fast,mabo_ss_qual,recall_edge_k0.5,recall_ss_fast_k0.5,recall_ss_qual_k0.5,recall_edge_k0.7,recall_ss_fast_k0.7,recall_ss_qual_k0.7,recall_edge_k0.9,recall_ss_fast_k0.9,recall_ss_qual_k0.9
10,0.05194052325625323,0.05865205771958407,0.06477541812416962,0.06999999999999999,0.04333333333333334,0.05,0.02,0.016666666666666666,0.02333333333333333,0.0,0.0033333333333333335,0.0033333333333333335
10,0.06538807361606962,0.0529198462904852,0.06005057987145598,0.09,0.025,0.034999999999999996,0.035,0.015000000000000003,0.015000000000000003,0.01,0.0,0.0
30,0.09109618749581279,0.09334654623140792,0.09703088311607241,0.09999999999999999,0.043333333333333335,0.05166666666666667,0.03,0.013333333333333332,0.02,0.0,0.0,0.0016666666666666666
50,0.10029264542836716,0.11690519831486298,0.1189152367567579,0.07500000000000001,0.052000000000000005,0.044000000000000004,0.019,0.016,0.016000000000000004,0.0,0.0,0.0
70,0.1153150746282273,0.1458918124326258,0.1470300150768378,0.059285714285714296,0.029999999999999992,0.0407142857142857,0.014285714285714285,0.010714285714285714,0.012857142857142859,0.0007142857142857143,0.0,0.0014285714285714286
90,0.09625841261726062,0.13745882326514464,0.1527184377098465,0.07777777777777777,0.049444444444444444,0.06499999999999999,0.01722222222222222,0.019999999999999997,0.024999999999999998,0.0011111111111111111,0.0022222222222222222,0.004444444444444444
110,0.12241391324698525,0.14729674887177363,0.16405526767614872,0.047968495934959346,0.03499999999999999,0.04454545454545454,0.011132298595713231,0.010454545454545456,0.016363636363636365,0.00045454545454545455,0.00045454545454545455,0.0009090909090909091
130,0.08967943353363803,0.13664746306689318,0.13623424479797616,0.024475524475524472,0.022151938970120792,0.025769230769230766,0.006130536130536131,0.005826446280991736,0.008461538461538461,0.0003846153846153846,0.0,0.0
150,0.10237368374520357,0.17154224286858802,0.15744879828876363,0.03449404761904762,0.045666666666666654,0.05466666666666666,0.004,0.01333333333333333,0.02066666666666666,0.0003333333333333334,0.0013333333333333335,0.0016666666666666666
170,0.09620824228993542,0.17218282354080605,0.16365075392666778,0.03603267973856209,0.03352941176470589,0.039705882352941174,0.007643790849673202,0.01235294117647059,0.01647058823529412,0.0,0.0002941176470588235,0.0008823529411764706
